Open,Amount,Close,Volume,High,Low,ts
645.0,43158000.0,645.0,67,645.0,644.0,2022-02-11 10:29:00
644.0,10308000.0,645.0,16,645.0,644.0,2022-02-11 10:30:00
645.0,25122000.0,645.0,39,645.0,644.0,2022-02-11 10:31:00
645.0,10317000.0,645.0,16,645.0,644.0,2022-02-11 10:32:00
644.0,67723000.0,645.0,105,645.0,644.0,2022-02-11 10:33:00
645.0,248357000.0,646.0,385,646.0,645.0,2022-02-11 10:34:00
646.0,21959000.0,646.0,34,646.0,645.0,2022-02-11 10:35:00
646.0,23254000.0,645.0,36,646.0,645.0,2022-02-11 10:36:00
646.0,18087000.0,646.0,28,646.0,645.0,2022-02-11 10:37:00
646.0,7105000.0,646.0,11,646.0,645.0,2022-02-11 10:38:00
646.0,36126000.0,645.0,56,646.0,645.0,2022-02-11 10:39:00
646.0,49683000.0,646.0,77,646.0,645.0,2022-02-11 10:40:00
646.0,8395000.0,646.0,13,646.0,645.0,2022-02-11 10:41:00
646.0,161897000.0,644.0,251,646.0,644.0,2022-02-11 10:42:00
645.0,11598000.0,644.0,18,645.0,644.0,2022-02-11 10:43:00
645.0,5158000.0,645.0,8,645.0,644.0,2022-02-11 10:44:00
644.0,25124000.0,644.0,39,645.0,644.0,2022-02-11 10:45:00
645.0,6446000.0,644.0,10,645.0,644.0,2022-02-11 10:46:00
645.0,4513000.0,645.0,7,645.0,644.0,2022-02-11 10:47:00
645.0,63854000.0,646.0,99,646.0,644.0,2022-02-11 10:48:00
645.0,51626000.0,646.0,80,646.0,645.0,2022-02-11 10:49:00
646.0,24546000.0,645.0,38,646.0,645.0,2022-02-11 10:50:00
645.0,7747000.0,645.0,12,646.0,645.0,2022-02-11 10:51:00
646.0,10972000.0,646.0,17,646.0,645.0,2022-02-11 10:52:00
646.0,5812000.0,646.0,9,646.0,645.0,2022-02-11 10:53:00
645.0,24515000.0,645.0,38,646.0,645.0,2022-02-11 10:54:00
645.0,24543000.0,646.0,38,646.0,645.0,2022-02-11 10:55:00
645.0,17440000.0,646.0,27,646.0,645.0,2022-02-11 10:56:00
646.0,10982000.0,646.0,17,646.0,646.0,2022-02-11 10:57:00
646.0,29067000.0,646.0,45,646.0,645.0,2022-02-11 10:58:00
645.0,36173000.0,646.0,56,646.0,645.0,2022-02-11 10:59:00
646.0,31654000.0,646.0,49,646.0,646.0,2022-02-11 11:00:00
646.0,29071000.0,647.0,45,647.0,646.0,2022-02-11 11:01:00
647.0,5820000.0,647.0,9,647.0,646.0,2022-02-11 11:02:00
646.0,6467000.0,646.0,10,647.0,646.0,2022-02-11 11:03:00
647.0,19385000.0,647.0,30,647.0,646.0,2022-02-11 11:04:00
647.0,8404000.0,647.0,13,647.0,646.0,2022-02-11 11:05:00
647.0,113056000.0,646.0,175,647.0,646.0,2022-02-11 11:06:00
646.0,61366000.0,646.0,95,646.0,645.0,2022-02-11 11:07:00
646.0,7743000.0,645.0,12,646.0,645.0,2022-02-11 11:08:00
646.0,5168000.0,646.0,8,646.0,646.0,2022-02-11 11:09:00
646.0,3876000.0,646.0,6,646.0,646.0,2022-02-11 11:10:00
646.0,16783000.0,645.0,26,646.0,645.0,2022-02-11 11:11:00
645.0,7099000.0,646.0,11,646.0,645.0,2022-02-11 11:12:00
646.0,7105000.0,646.0,11,646.0,645.0,2022-02-11 11:13:00
646.0,16792000.0,646.0,26,646.0,645.0,2022-02-11 11:14:00
646.0,14853000.0,646.0,23,646.0,645.0,2022-02-11 11:15:00
645.0,34840000.0,646.0,54,646.0,645.0,2022-02-11 11:16:00
646.0,5812000.0,646.0,9,646.0,645.0,2022-02-11 11:17:00
646.0,5168000.0,646.0,8,646.0,646.0,2022-02-11 11:18:00
645.0,47153000.0,646.0,73,646.0,645.0,2022-02-11 11:19:00
646.0,51057000.0,647.0,79,647.0,646.0,2022-02-11 11:20:00
647.0,69869000.0,647.0,108,647.0,646.0,2022-02-11 11:21:00
647.0,10993000.0,647.0,17,647.0,646.0,2022-02-11 11:22:00
647.0,5823000.0,647.0,9,647.0,647.0,2022-02-11 11:23:00
647.0,5175000.0,647.0,8,647.0,646.0,2022-02-11 11:24:00
647.0,7117000.0,647.0,11,647.0,647.0,2022-02-11 11:25:00
647.0,6466000.0,646.0,10,647.0,646.0,2022-02-11 11:26:00
647.0,8407000.0,647.0,13,647.0,646.0,2022-02-11 11:27:00
647.0,3879000.0,647.0,6,647.0,646.0,2022-02-11 11:28:00
647.0,18752000.0,647.0,29,647.0,646.0,2022-02-11 11:29:00
647.0,21996000.0,647.0,34,647.0,646.0,2022-02-11 11:30:00
647.0,15527000.0,646.0,24,647.0,646.0,2022-02-11 11:31:00
647.0,9058000.0,647.0,14,647.0,647.0,2022-02-11 11:32:00
647.0,3235000.0,647.0,5,647.0,647.0,2022-02-11 11:33:00
647.0,5821000.0,646.0,9,647.0,646.0,2022-02-11 11:34:00
647.0,5821000.0,647.0,9,647.0,646.0,2022-02-11 11:35:00
647.0,27173000.0,647.0,42,647.0,646.0,2022-02-11 11:36:00
647.0,7762000.0,647.0,12,647.0,646.0,2022-02-11 11:37:00
647.0,7117000.0,647.0,11,647.0,647.0,2022-02-11 11:38:00
647.0,7762000.0,647.0,12,647.0,646.0,2022-02-11 11:39:00
647.0,45286000.0,647.0,70,647.0,646.0,2022-02-11 11:40:00
647.0,19403000.0,647.0,30,647.0,646.0,2022-02-11 11:41:00
647.0,15527000.0,647.0,24,647.0,646.0,2022-02-11 11:42:00
646.0,10350000.0,647.0,16,647.0,646.0,2022-02-11 11:43:00
647.0,10352000.0,647.0,16,647.0,647.0,2022-02-11 11:44:00
647.0,58826000.0,646.0,91,647.0,646.0,2022-02-11 11:45:00
647.0,77582000.0,647.0,120,647.0,646.0,2022-02-11 11:46:00
647.0,14233000.0,647.0,22,647.0,646.0,2022-02-11 11:47:00
647.0,14871000.0,647.0,23,647.0,646.0,2022-02-11 11:48:00
647.0,220651000.0,647.0,341,648.0,647.0,2022-02-11 11:49:00
648.0,60910000.0,648.0,94,648.0,647.0,2022-02-11 11:50:00
648.0,25272000.0,648.0,39,648.0,648.0,2022-02-11 11:51:00
648.0,35632000.0,648.0,55,648.0,647.0,2022-02-11 11:52:00
647.0,21366000.0,648.0,33,648.0,647.0,2022-02-11 11:53:00
648.0,104974000.0,649.0,162,649.0,647.0,2022-02-11 11:54:00
649.0,89439000.0,648.0,138,649.0,648.0,2022-02-11 11:55:00
649.0,18154000.0,649.0,28,649.0,648.0,2022-02-11 11:56:00
648.0,18810000.0,649.0,29,649.0,648.0,2022-02-11 11:57:00
649.0,294853000.0,648.0,455,649.0,648.0,2022-02-11 11:58:00
647.0,8421000.0,647.0,13,648.0,647.0,2022-02-11 11:59:00
648.0,11014000.0,648.0,17,648.0,647.0,2022-02-11 12:00:00
648.0,9719000.0,648.0,15,648.0,647.0,2022-02-11 12:01:00
648.0,12958000.0,648.0,20,648.0,647.0,2022-02-11 12:02:00
647.0,10367000.0,648.0,16,648.0,647.0,2022-02-11 12:03:00
648.0,7127000.0,648.0,11,648.0,647.0,2022-02-11 12:04:00
648.0,7125000.0,647.0,11,648.0,647.0,2022-02-11 12:05:00
647.0,6477000.0,648.0,10,648.0,647.0,2022-02-11 12:06:00
648.0,27181000.0,648.0,42,648.0,647.0,2022-02-11 12:07:00
647.0,12948000.0,648.0,20,648.0,647.0,2022-02-11 12:08:00
648.0,5183000.0,648.0,8,648.0,647.0,2022-02-11 12:09:00
648.0,7776000.0,648.0,12,648.0,648.0,2022-02-11 12:10:00
648.0,13604000.0,648.0,21,648.0,647.0,2022-02-11 12:11:00
648.0,11013000.0,648.0,17,648.0,647.0,2022-02-11 12:12:00
648.0,11661000.0,648.0,18,648.0,647.0,2022-02-11 12:13:00
647.0,184731000.0,649.0,285,649.0,647.0,2022-02-11 12:14:00
649.0,31112000.0,648.0,48,649.0,648.0,2022-02-11 12:15:00
649.0,13629000.0,649.0,21,649.0,649.0,2022-02-11 12:16:00
648.0,15574000.0,649.0,24,649.0,648.0,2022-02-11 12:17:00
649.0,19468000.0,649.0,30,649.0,648.0,2022-02-11 12:18:00
649.0,20116000.0,649.0,31,649.0,648.0,2022-02-11 12:19:00
648.0,21411000.0,648.0,33,649.0,648.0,2022-02-11 12:20:00
648.0,208018000.0,648.0,321,649.0,647.0,2022-02-11 12:21:00
648.0,12312000.0,648.0,19,648.0,648.0,2022-02-11 12:22:00
647.0,16198000.0,648.0,25,648.0,647.0,2022-02-11 12:23:00
648.0,16847000.0,648.0,26,648.0,647.0,2022-02-11 12:24:00
648.0,14254000.0,648.0,22,648.0,647.0,2022-02-11 12:25:00
648.0,14253000.0,648.0,22,648.0,647.0,2022-02-11 12:26:00
648.0,46654000.0,648.0,72,648.0,647.0,2022-02-11 12:27:00
648.0,14903000.0,648.0,23,648.0,647.0,2022-02-11 12:28:00
648.0,15552000.0,648.0,24,648.0,648.0,2022-02-11 12:29:00
648.0,21384000.0,648.0,33,648.0,648.0,2022-02-11 12:30:00
648.0,14902000.0,648.0,23,648.0,647.0,2022-02-11 12:31:00
648.0,13608000.0,648.0,21,648.0,648.0,2022-02-11 12:32:00
648.0,11662000.0,647.0,18,648.0,647.0,2022-02-11 12:33:00
648.0,20085000.0,648.0,31,648.0,647.0,2022-02-11 12:34:00
648.0,55725000.0,648.0,86,648.0,647.0,2022-02-11 12:35:00
648.0,37584000.0,648.0,58,648.0,648.0,2022-02-11 12:36:00
648.0,18140000.0,648.0,28,648.0,647.0,2022-02-11 12:37:00
648.0,21384000.0,648.0,33,648.0,648.0,2022-02-11 12:38:00
648.0,18789000.0,647.0,29,648.0,647.0,2022-02-11 12:39:00
648.0,34343000.0,648.0,53,648.0,647.0,2022-02-11 12:40:00
648.0,38870000.0,647.0,60,648.0,647.0,2022-02-11 12:41:00
648.0,20086000.0,647.0,31,648.0,647.0,2022-02-11 12:42:00
648.0,59567000.0,648.0,92,648.0,647.0,2022-02-11 12:43:00
648.0,16199000.0,648.0,25,648.0,647.0,2022-02-11 12:44:00
647.0,528604000.0,646.0,817,648.0,646.0,2022-02-11 12:45:00
